,name,team,opponent,points,salary,week
840,"Boyd, Tyler",cin,bal,2.5,6400,6
841,"Goodwin, Marquise",sfo,lar,2.5,5200,6
842,"Johnson, KeeSean",ari, atl,2.4,4600,6
843,"Johnson, Diontae",pit,lac,2.4,5000,6
844,"Johnson, Olabisi",min, phi,2.1,4800,6
845,"Treadwell, Laquon",min, phi,2,0,6
846,"Davis, Geremy",lac, pit,1.8,4500,6
847,"Quinn, Trey",was,mia,1.8,5100,6
848,"Hill, Taysom",nor,jac,1.7,6000,6
849,"Bourne, Kendrick",sfo,lar,1.6,4500,6
850,"Moncrief, Donte",pit,lac,1.6,4600,6
851,"Harmon, Kelvin",was,mia,1.3,4500,6
852,"Smith-Schuster, JuJu",pit,lac,1.2,7200,6
853,"Gordon, Josh",nwe, nyg,1.2,5900,6
854,"Gage, Russell",atl,ari,1.1,4500,6
855,"Wright, Jarius",car,tam,1.1,4500,6
856,"Amendola, Danny",det,gnb,1.1,4700,6
857,"Brown, Fred",den, ten,1,4500,6
858,"Smith, Vyncint",nyj, dal,1,4700,6
859,"Cooper, Amari",dal,nyj,0.8,8100,6
860,"Sanders, Emmanuel",den, ten,0.5,5500,6
861,"Benjamin, Travis",lac, pit,0.5,4500,6
862,"Thomas, De'Anthony",kan, hou,0.4,4500,6
863,"Switzer, Ryan",pit,lac,0.3,4500,6
864,"Lee, Marqise",jac, nor,0.1,4600,6
865,"Sims Jr., Steven",was,mia,0.1,4900,6
866,"Sharpe, Tajae",ten,den,0,4600,6
867,"Hollins, Mack",phi,min,0,4700,6
868,"Zylstra, Brandon",car,tam,0,4500,6
869,"Carr, Austin",nor,jac,0,4500,6
870,"Turner, Malik",sea,cle,0,4500,6
871,"Willis, Damion",cin,bal,0,4500,6
872,"Berrios, Braxton",nyj, dal,0,4500,6
873,"Jennings, Darius",ten,den,0,4500,6
874,"Robinson, Demarcus",kan, hou,0,6700,6
875,"Thomas, Mike",lar, sfo,0,4500,6
876,"Natson, JoJo",lar, sfo,0,4500,6
877,"Spencer, Diontae",den, ten,0,4500,6
878,"Conley, Chris",jac, nor,0,4600,6
879,"Morgan, Stanley",cin,bal,0,4500,6
880,"Latimer, Cody",nyg,nwe,0,4600,6
881,"Hodge, KhaDarel",cle, sea,0,4500,6
882,"Watson, Justin",tam, car,0,4500,6
883,"Richardson, Paul",was,mia,0,4700,6
884,"Slater, Matthew",nwe, nyg,0,4500,6
885,"Carter, DeAndre",hou,kan,0,4500,6
886,"Arcega-Whiteside, JJ",phi,min,0,4500,6
887,"Holton, Johnny",pit,lac,0,4500,6
888,"Reynolds, Josh",lar, sfo,0,5300,6
889,"Core, Cody",nyg,nwe,0,4500,6
890,"James, Richie",sfo,lar,0,4600,6
891,"Isabella, Andy",ari, atl,0,4500,6
892,"Ford, Isaiah",mia, was,0,4500,6
893,"Cole, Keelan",jac, nor,0,4500,6
894,"Humphrey, Lil'Jordan",nor,jac,0,4500,6
895,"Bellamy, Josh",nyj, dal,0,4500,6
896,"Hardy, Justin",atl,ari,0,4500,6
897,"Harris, Deonte",nor,jac,0,4500,6
898,"Wilson, Bobo",tam, car,-0.5,4500,6
899,"Shepherd, Darrius",gnb, det,-1.4,4500,6
900,"McCloud, Ray-Ray",car,tam,-2,4500,6
901,"Jones, Marvin",det, min,38.3,5600,7
902,"Pascal, Zach",ind, hou,25.6,5500,7
903,"Hopkins, DeAndre",hou,ind,21.1,8000,7
904,"Valdes-Scantling, Marquez",gnb, oak,20.3,6300,7
905,"Robinson, Allen",chi, nor,19.7,7000,7
906,"Diggs, Stefon",min,det,17.7,6800,7
907,"Thomas, Michael",nor,chi,17.6,8100,7
908,"Erickson, Alex",cin, jac,17.5,4800,7
909,"Davis, Corey",ten, lac,17,5000,7
910,"Brown, John",buf, mia,16.8,5900,7
911,"Hilton, T.Y.",ind, hou,16.4,7600,7
912,"Hill, Tyreek",kan,den,14.9,7900,7
913,"Westbrook, Dede",jac,cin,14.7,5400,7
914,"Amendola, Danny",det, min,14.5,4700,7
915,"Lockett, Tyler",sea, bal,14.3,6500,7
916,"Parker, DeVante",mia,buf,14,5400,7
917,"Cooper, Amari",dal, phi,13.1,7800,7
918,"Stills, Kenny",hou,ind,12.5,5300,7
919,"Kumerow, Jake",gnb, oak,12.4,4500,7
920,"Jones, Julio",atl, lar,12.3,8200,7
